class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Knee genu valgus,0.6994152665138245,0.4726456701755523,-0.3241356313228607,0.9999977350234984,0.7112448811531067,0.4758934676647186,-0.3162599802017212,0.9999906420707704,0.7115381956100464,0.4779219031333923,-0.3162021040916443,0.999990701675415,0.7118627429008484,0.4801426231861114,-0.3161676526069641,0.9999902844429016,0.7097561359405518,0.4686432480812073,-0.3157696425914764,0.9999911785125732,0.709184467792511,0.4661367833614349,-0.3158523440361023,0.9999912977218628,0.7088364362716675,0.4640507400035858,-0.3158622086048126,0.999990463256836,0.7066186666488647,0.4839972555637359,-0.2448410242795944,0.99997878074646,0.7023917436599731,0.4609775245189667,-0.2441691309213638,0.9999789595603944,0.6873964667320251,0.4777888655662536,-0.2963888049125671,0.9999960660934448,0.6861300468444824,0.4688238799571991,-0.2960223853588104,0.9999956488609314,0.6290402412414551,0.5100356340408325,-0.2023279368877411,0.9999751448631288,0.6288389563560486,0.4433613419532776,-0.2049519717693328,0.9999618530273438,0.5426152944564819,0.5204970240592957,-0.1451796293258667,0.995733916759491,0.5411511659622192,0.4361740350723266,-0.1511151194572448,0.985055148601532,0.4622817933559418,0.5227432250976562,-0.1589873284101486,0.991288959980011,0.4645296335220337,0.4373257458209991,-0.1622871458530426,0.9624211192131042,0.4371938705444336,0.5244576334953308,-0.1711392998695373,0.9786475896835328,0.4417917132377624,0.4364479482173919,-0.1721062660217285,0.9265756011009216,0.4375762343406677,0.5203350782394409,-0.1919514387845993,0.9800804853439332,0.4435965120792389,0.4397042989730835,-0.1933255344629287,0.9300659894943236,0.4444393813610077,0.5183805227279663,-0.1659955829381942,0.9765205979347228,0.4509208500385284,0.4413225948810577,-0.1704345047473907,0.9245320558547974,0.482117086648941,0.4964825809001922,-0.0025609212461858,0.9998494386672974,0.4816597402095794,0.4605403244495392,0.0023168653715401,0.9998857975006104,0.3764147162437439,0.4976617693901062,0.0468683838844299,0.993955671787262,0.3753829896450043,0.4570375084877014,0.0499767139554023,0.9962655305862428,0.2836002111434936,0.5033639073371887,0.1476291716098785,0.9956226348876952,0.2841376066207886,0.4506631195545196,0.1588758826255798,0.9950563907623292,0.2713397145271301,0.5004448890686035,0.1515768617391586,0.9412375092506408,0.2728840410709381,0.4542140960693359,0.164859727025032,0.9087889194488524,0.2498072236776352,0.5103408694267273,0.0727497711777687,0.9918920993804932,0.247929036617279,0.441767543554306,0.0905830338597297,0.9900040030479432
Knee genu valgus,0.6718199849128723,0.4743176400661468,-0.4051060974597931,0.9999973177909852,0.6835774183273315,0.4772075712680816,-0.3940964043140411,0.9999894499778748,0.6839074492454529,0.4791659116744995,-0.3940292596817016,0.9999892711639404,0.6842079162597656,0.4815694987773895,-0.3940109014511108,0.9999892711639404,0.6822055578231812,0.4703521132469177,-0.3940920829772949,0.9999903440475464,0.6817032098770142,0.4677854478359222,-0.3941788971424103,0.999990463256836,0.6812289357185364,0.4656980633735657,-0.394184798002243,0.9999899864196776,0.6794000864028931,0.4854232370853424,-0.3019470870494842,0.99997478723526,0.6750097870826721,0.4625569880008697,-0.3030169010162353,0.9999781847000122,0.6601775288581848,0.47916179895401,-0.368928462266922,0.9999955892562866,0.6583303809165955,0.4708465337753296,-0.3690623939037323,0.9999952912330629,0.6050444841384888,0.5114679336547852,-0.2238532453775406,0.999967098236084,0.604103147983551,0.4453438520431518,-0.2322771400213241,0.9999533295631408,0.5216729640960693,0.5234015583992004,-0.1706461906433105,0.9946528673171996,0.5203789472579956,0.4377307891845703,-0.1844035238027572,0.9850017428398132,0.4404768943786621,0.5250295400619507,-0.1994604617357254,0.9863623380661012,0.4434380531311035,0.4396303594112396,-0.20526023209095,0.9511571526527404,0.4157549738883972,0.5264374017715454,-0.2153085619211197,0.9682826995849608,0.4214766919612884,0.4383364915847778,-0.2198524177074432,0.9064716696739196,0.4159857928752899,0.5228293538093567,-0.2387216389179229,0.9702845215797424,0.4221071302890777,0.4413800239562988,-0.2413258552551269,0.9111450910568236,0.4248806536197662,0.5214148163795471,-0.2085217237472534,0.967818558216095,0.428278237581253,0.4431471228599548,-0.2138815820217132,0.9084673523902892,0.4682144820690155,0.4976303279399872,0.0003521369653753,0.999839723110199,0.4689594805240631,0.4624954462051391,-0.0006044092588126,0.9998757243156432,0.3681689202785492,0.498296856880188,0.0249939821660518,0.991176187992096,0.3674157261848449,0.4571947455406189,0.0132452687248587,0.9949460029602052,0.2836136817932129,0.5029662251472473,0.1829404979944229,0.9940186142921448,0.2838471829891205,0.4508824050426483,0.1622776985168457,0.993406057357788,0.2711661756038666,0.4996207952499389,0.1947524398565292,0.9296566247940063,0.273118644952774,0.4540745317935943,0.1757091730833053,0.8880377411842346,0.2501707673072815,0.5109041929244995,0.1026655659079551,0.9892485737800598,0.2485082000494003,0.4423409700393677,0.0800461992621421,0.9870259761810304
Knee genu valgus,0.6087683439254761,0.4775319993495941,-0.4879545867443084,0.9999951124191284,0.619719922542572,0.4810792803764343,-0.4707303345203399,0.9999843835830688,0.620161235332489,0.4833690226078033,-0.4707234501838684,0.999984085559845,0.6205273270606995,0.4856705069541931,-0.4708031713962555,0.999984860420227,0.6189154982566833,0.4735374748706817,-0.4699814319610595,0.9999831914901732,0.618674635887146,0.4709569215774536,-0.4700953960418701,0.9999831318855286,0.6186009645462036,0.4686407446861267,-0.4700932800769806,0.999983251094818,0.6181853413581848,0.4895743727684021,-0.3572475612163543,0.99997216463089,0.6151466369628906,0.4656870663166046,-0.3539868891239166,0.999964952468872,0.5979583859443665,0.4820465445518493,-0.4443587362766266,0.9999954104423524,0.5955015420913696,0.4732374846935272,-0.4434621930122375,0.9999940395355223,0.5487385988235474,0.5137668251991272,-0.2827369570732116,0.9999752044677734,0.5476812720298767,0.4469386637210846,-0.2536888718605041,0.9999563097953796,0.4687510132789612,0.5279767513275146,-0.2685882151126861,0.99412339925766,0.473530501127243,0.4396575391292572,-0.2162085026502609,0.9852623343467712,0.3907641470432281,0.5264864563941956,-0.3357205390930176,0.970150351524353,0.4003981947898865,0.4422810971736908,-0.2789347469806671,0.9348102807998656,0.3653716146945953,0.5276400446891785,-0.364827424287796,0.9297794699668884,0.379290372133255,0.4402729868888855,-0.300706684589386,0.869903564453125,0.3653589189052582,0.5234325528144836,-0.3865498900413513,0.9351478219032288,0.3791783452033996,0.4435589015483856,-0.3281013369560241,0.8785204887390137,0.3717963993549347,0.5221367478370667,-0.3444857001304626,0.9323192238807678,0.3863020837306976,0.4456632733345032,-0.2902534902095794,0.8725459575653076,0.4435457289218902,0.4995642006397247,-0.0049804216250777,0.9998786449432372,0.4449490904808044,0.4653205275535583,0.0048631215468049,0.999874711036682,0.3661783039569855,0.4964675009250641,-0.3300465941429138,0.9860011339187622,0.366015762090683,0.4601753950119018,-0.2442092895507812,0.9848557710647584,0.2847089469432831,0.5018243193626404,-0.0735841691493988,0.987682044506073,0.2818047702312469,0.4508871436119079,-0.036008033901453,0.9896343946456908,0.2708742320537567,0.4989111721515655,-0.0542111918330192,0.914716362953186,0.2699751853942871,0.4534868896007538,-0.0219460390508174,0.8826652765274048,0.2501568496227264,0.5102874040603638,-0.1799903362989425,0.9817496538162231,0.2478944212198257,0.4428921341896057,-0.1639801114797592,0.9839027523994446
Knee genu valgus,0.5899749994277954,0.4777372479438782,-0.509913444519043,0.9999961256980896,0.6014804244041443,0.4814229309558868,-0.491207093000412,0.9999879002571106,0.6019684672355652,0.4837741553783417,-0.4912043809890747,0.9999876022338868,0.6022762060165405,0.4861105382442474,-0.4912893176078796,0.9999881982803344,0.6003819704055786,0.4735741913318634,-0.4906023442745209,0.9999867081642152,0.6000250577926636,0.4709084331989288,-0.4907150268554687,0.9999866485595704,0.5994836091995239,0.4685708284378052,-0.4907113015651703,0.9999866485595704,0.599891185760498,0.4901201426982879,-0.3720404207706451,0.9999787211418152,0.5959307551383972,0.4657090902328491,-0.3698603808879852,0.9999721050262452,0.579161524772644,0.4823962152004242,-0.4645055830478668,0.9999964833259584,0.5764472484588623,0.4733595848083496,-0.463826447725296,0.9999954700469972,0.5311500430107117,0.51408451795578,-0.2952888607978821,0.9999807476997375,0.5298299193382263,0.4469451606273651,-0.2687160968780517,0.9999616742134094,0.450539231300354,0.5277119278907776,-0.2932406961917877,0.995055854320526,0.4551761746406555,0.4395630657672882,-0.2462391853332519,0.986505687236786,0.3752962648868561,0.5263562798500061,-0.3634126484394073,0.973166525363922,0.3839246332645416,0.4421741068363189,-0.3167672455310821,0.939751923084259,0.3535295128822326,0.5275671482086182,-0.3948462009429931,0.9354074597358704,0.3644942343235016,0.4402117729187011,-0.3420650362968445,0.8772729635238647,0.3535381555557251,0.522657573223114,-0.4150436818599701,0.9404176473617554,0.3635925650596618,0.443037211894989,-0.3683659434318542,0.8856590390205383,0.3601275086402893,0.5213580131530762,-0.3719780445098877,0.9367626905441284,0.3690449893474579,0.4450592696666717,-0.3281377255916595,0.8783401846885681,0.433830589056015,0.5000736713409424,-0.007246006745845,0.99990713596344,0.4347680211067199,0.4657085537910461,0.0071680485270917,0.999899923801422,0.3650531768798828,0.4996568560600281,-0.3570624589920044,0.9865769743919371,0.3639358878135681,0.4596686065196991,-0.2784355580806732,0.9819103479385376,0.2867118120193481,0.5018436908721924,-0.0840124413371086,0.9878750443458556,0.2810930907726288,0.4511149227619171,-0.049973614513874,0.990332305431366,0.2739551067352295,0.4989491999149322,-0.0632905885577201,0.9239755272865297,0.2686953842639923,0.4540540277957916,-0.0341583937406539,0.8985811471939087,0.250488668680191,0.5100619196891785,-0.1893564760684967,0.9825544357299804,0.2476167231798172,0.441710501909256,-0.1770274937152862,0.9851839542388916
Knee genu valgus,0.5727733969688416,0.4777063429355621,-0.4591326713562011,0.9999964833259584,0.5838619470596313,0.4813550114631653,-0.4412266910076141,0.999989688396454,0.5842913389205933,0.4836876988410949,-0.4412281513214111,0.9999892115592957,0.5846149325370789,0.4860290288925171,-0.4413037896156311,0.9999898076057434,0.5828390717506409,0.473502516746521,-0.4421910941600799,0.9999881982803344,0.5824778079986572,0.4708024263381958,-0.4422732293605804,0.999987781047821,0.5820091366767883,0.4684845209121704,-0.4422503113746643,0.9999876618385316,0.5823730230331421,0.4901104867458343,-0.3298908770084381,0.9999822378158568,0.5783631205558777,0.4656773507595062,-0.3343201279640198,0.9999737739562988,0.5620930194854736,0.4824157357215881,-0.4164739847183227,0.999997079372406,0.5592285990715027,0.4733606278896332,-0.4176895916461944,0.9999960660934448,0.5167074799537659,0.5140544176101685,-0.2624392211437225,0.9999826550483704,0.5148748159408569,0.4469355344772339,-0.2502759993076324,0.9999563097953796,0.4392220079898834,0.527859628200531,-0.271696388721466,0.9952728152275084,0.4431726038455963,0.4386883676052093,-0.2346513569355011,0.9854954481124878,0.3670604228973388,0.5260780453681946,-0.345301479101181,0.9711437225341796,0.3760155439376831,0.4421266317367553,-0.3017361462116241,0.930640697479248,0.3448925912380218,0.5284290909767151,-0.3779228031635284,0.9298067092895508,0.3558570444583893,0.4402016103267669,-0.3259628415107727,0.8605627417564392,0.3430731892585754,0.5229564905166626,-0.3880580067634582,0.9351277351379396,0.3550622165203094,0.4427953958511352,-0.3509553372859955,0.8694018721580505,0.349566251039505,0.5214429497718811,-0.3514794707298279,0.930658757686615,0.3609679937362671,0.4445310533046722,-0.3126964271068573,0.8602128028869629,0.4173533916473388,0.5001518130302429,-0.0050770882517099,0.999923825263977,0.4177204370498657,0.4657517671585083,0.0050964443944394,0.999913215637207,0.3607072532176971,0.5015738606452942,-0.3379640579223633,0.9849934577941896,0.3614158630371094,0.4569227397441864,-0.2713356018066406,0.9755804538726808,0.2866314947605133,0.5019862055778503,-0.0883876904845237,0.9848657250404358,0.2798626124858856,0.4515916109085083,-0.0664990618824958,0.9901010990142822,0.2739318609237671,0.4991451799869537,-0.0694019272923469,0.9257827997207642,0.2668941617012024,0.4544297456741333,-0.0525582693517208,0.9095255136489868,0.2515338063240051,0.5101989507675171,-0.1867844760417938,0.980217695236206,0.2474831789731979,0.4407361447811126,-0.1858776360750198,0.9850820302963256
Knee genu valgus,0.5575699806213379,0.4773996770381927,-0.4475471079349518,0.999995768070221,0.5682437419891357,0.4809894859790802,-0.4296580851078033,0.99998939037323,0.5685798525810242,0.4832101762294769,-0.429668128490448,0.999988615512848,0.5688458681106567,0.4855147302150726,-0.4297272264957428,0.99998939037323,0.5676604509353638,0.4731306135654449,-0.4307741820812225,0.99998676776886,0.5676084756851196,0.4704145491123199,-0.430855244398117,0.9999857544898988,0.5674120783805847,0.468296080827713,-0.4308402240276336,0.9999853372573853,0.5672387480735779,0.4898037016391754,-0.3205102980136871,0.9999829530715942,0.5644004344940186,0.4655014276504516,-0.325047880411148,0.9999687075614928,0.547058641910553,0.4822050929069519,-0.4062526226043701,0.999997079372406,0.5445358157157898,0.4730726182460785,-0.4074282646179199,0.999995768070221,0.5050769448280334,0.5134727358818054,-0.2559571266174316,0.9999829530715942,0.5024157166481018,0.4466758370399475,-0.2440676391124725,0.9999400973320008,0.4279968738555908,0.5280975103378296,-0.2622027099132538,0.9953529238700868,0.4275479912757873,0.4377193450927734,-0.2335153818130493,0.9851216673851012,0.3555240035057068,0.5260676741600037,-0.3313149511814117,0.969049036502838,0.3618614971637726,0.4419689178466797,-0.299729973077774,0.9211188554763794,0.3314484059810638,0.5290119051933289,-0.3615193963050842,0.9246153235435486,0.3433521687984466,0.4401525855064392,-0.3228835165500641,0.8427899479866028,0.3293288350105285,0.5233377814292908,-0.3747220933437347,0.9302211999893188,0.3427412807941437,0.4427909255027771,-0.3459927141666412,0.8527281284332275,0.3371867537498474,0.5216509699821472,-0.3380156755447387,0.9256362915039062,0.3480976521968841,0.4444928169250488,-0.3099878132343292,0.8419278860092163,0.4083894789218902,0.4998360276222229,-0.0030643420759588,0.999933123588562,0.4073359668254852,0.4652911424636841,0.0031036131549626,0.9999154210090636,0.3566673696041107,0.5018424391746521,-0.3386475145816803,0.9834030270576476,0.3538616299629211,0.455896258354187,-0.260219007730484,0.9680722951889038,0.2848874926567077,0.5020350813865662,-0.0824619680643081,0.980763852596283,0.2796143591403961,0.4518907964229584,-0.0506589114665985,0.9884750247001648,0.2733267545700073,0.4990565180778503,-0.0624089911580085,0.9233168959617616,0.267327070236206,0.4547107517719269,-0.0359215438365936,0.9143496155738832,0.2529565095901489,0.5102935433387756,-0.175582617521286,0.9762622714042664,0.248613491654396,0.4409974217414856,-0.1673396080732345,0.9834672212600708
Knee genu valgus,0.5494670271873474,0.4763302206993103,-0.4957044124603271,0.9999945163726808,0.5612418055534363,0.4800232052803039,-0.4765784442424774,0.9999871253967284,0.5616984367370605,0.482147216796875,-0.4766038656234741,0.9999863505363464,0.5620253682136536,0.4843488037586212,-0.4766790866851806,0.9999871850013732,0.5606749653816223,0.4721289277076721,-0.4766749739646911,0.9999815225601196,0.5606902241706848,0.4694915115833282,-0.4767877161502838,0.9999803900718688,0.5607929229736328,0.4676891267299652,-0.4768044352531433,0.9999793171882628,0.5594902634620667,0.4886725544929504,-0.3655796647071838,0.9999809861183168,0.5565736293792725,0.4648773074150085,-0.3645048141479492,0.9999549388885498,0.5391243100166321,0.481429785490036,-0.4541864991188049,0.999996542930603,0.5373178720474243,0.4718854129314422,-0.4538455605506897,0.999994158744812,0.4960684180259704,0.5127768516540527,-0.301904022693634,0.9999836087226868,0.4939904808998108,0.4458191096782684,-0.2816101908683777,0.9999243021011353,0.4181991219520569,0.5280539989471436,-0.3216256201267242,0.9955067038536072,0.4156414568424225,0.43751922249794,-0.2713619768619537,0.9851715564727784,0.345859557390213,0.5260053873062134,-0.3943961560726166,0.9645900130271912,0.3492674529552459,0.4414316713809967,-0.3385360240936279,0.9167172312736512,0.322253555059433,0.5288026928901672,-0.4260728061199188,0.9144850969314576,0.3302406668663025,0.4394853711128235,-0.363082617521286,0.8340235948562622,0.3193933963775635,0.523277997970581,-0.4424767792224884,0.9209824800491332,0.329792708158493,0.4425452053546905,-0.3880423605442047,0.8459057807922363,0.3273243308067322,0.5218323469161987,-0.4023577868938446,0.916981875896454,0.3343248069286346,0.4440349340438843,-0.3496930301189422,0.8339115977287292,0.4041364789009094,0.4988959431648254,-0.007825487293303,0.9999477863311768,0.4022392928600311,0.4645234942436218,0.0078276889398694,0.9999244213104248,0.355195552110672,0.4970458447933197,-0.3640961647033691,0.9819785952568054,0.3468942642211914,0.4562507271766662,-0.2395766973495483,0.9525127410888672,0.2828236818313598,0.5013766288757324,-0.0668283104896545,0.9785985350608826,0.2799213826656341,0.4522275328636169,0.0179974045604467,0.9841620922088624,0.2725464999675751,0.4984883368015289,-0.0417963080108165,0.9203664660453796,0.2681020200252533,0.4548007547855377,0.0382099896669387,0.9129831790924072,0.2530826330184936,0.5096573233604431,-0.1528964787721634,0.9719014167785645,0.2489659041166305,0.4413001835346222,-0.0818540155887603,0.9773515462875366
Knee genu valgus,0.5508144497871399,0.4761937856674194,-0.5191884636878967,0.9999947547912598,0.5624091625213623,0.4798964262008667,-0.4996978342533111,0.9999873042106628,0.5625325441360474,0.4820746183395386,-0.4997208714485168,0.9999867081642152,0.5625576376914978,0.4842471480369568,-0.4997970163822174,0.999987006187439,0.5618159770965576,0.4719166457653045,-0.4994994103908539,0.999980926513672,0.5616661310195923,0.4692744612693786,-0.4996192753314972,0.9999805688858032,0.5614247918128967,0.4674638509750366,-0.4996450245380401,0.9999790191650392,0.559001088142395,0.4885332286357879,-0.3868246078491211,0.9999814629554749,0.5565212965011597,0.4646410048007965,-0.3845299780368805,0.9999553561210632,0.5407712459564209,0.4813502728939056,-0.4771111905574798,0.9999966025352478,0.5389606356620789,0.4716229438781738,-0.4764464199542999,0.9999940395355223,0.4947709739208221,0.5125185251235962,-0.3200984895229339,0.9999843835830688,0.4926052093505859,0.4454229176044464,-0.2982089519500732,0.9999260306358336,0.4160341620445251,0.5274751782417297,-0.3441264033317566,0.9958783388137816,0.4143384099006653,0.4372583031654358,-0.2906520962715149,0.9861828088760376,0.3424983024597168,0.5255881547927856,-0.4227782487869262,0.9619295001029968,0.3456239998340606,0.4414017498493194,-0.3595805764198303,0.9220075011253356,0.319025844335556,0.5283117890357971,-0.4562899172306061,0.9088749289512634,0.3263133764266968,0.4395739138126373,-0.3853025734424591,0.842615008354187,0.3159412145614624,0.5228078961372375,-0.4719286859035492,0.91602224111557,0.3259142935276031,0.4428763687610626,-0.4094202816486358,0.8549225330352783,0.3240518867969513,0.5215343832969666,-0.4307408630847931,0.910942316055298,0.3302912414073944,0.4443691670894623,-0.3704469799995422,0.8400115370750427,0.4036841094493866,0.4985485076904297,-0.0105484705418348,0.9999613761901855,0.4023963809013366,0.4639655351638794,0.0104841431602835,0.9999390244483948,0.3553467094898224,0.4941020309925079,-0.3803524374961853,0.980504870414734,0.3471959829330444,0.4569511115550995,-0.2248878329992294,0.9332351684570312,0.2819871008396148,0.5009912252426147,-0.0773534849286079,0.9780486822128296,0.2801107764244079,0.4524483680725097,0.0404480881989002,0.9787787795066832,0.2716628313064575,0.4981944859027862,-0.0521052852272987,0.9189493060112,0.268343985080719,0.4548688232898712,0.0612326078116893,0.9079729318618774,0.2523760497570038,0.5091508030891418,-0.1700804829597473,0.9695672988891602,0.2488549351692199,0.4414654374122619,-0.0605141259729862,0.9700103402137756
Knee genu valgus,0.5561882853507996,0.4760475754737854,-0.5203773975372314,0.9999949932098388,0.5673322081565857,0.4798283576965332,-0.5005975961685181,0.9999873638153076,0.5672637820243835,0.4820404052734375,-0.5006296634674072,0.9999869465827942,0.5670902132987976,0.484190285205841,-0.5007152557373047,0.9999869465827942,0.5668525695800781,0.4717403650283813,-0.5006201863288879,0.9999804496765136,0.5666290521621704,0.4690583646297455,-0.5007402896881104,0.999980628490448,0.566359281539917,0.4672781825065613,-0.5007683038711548,0.9999790787696838,0.5628100633621216,0.4886145293712616,-0.3880661725997925,0.9999818205833436,0.5612514615058899,0.464548796415329,-0.386981725692749,0.9999560117721558,0.5446365475654602,0.4813015162944793,-0.4786175787448883,0.9999966025352478,0.5429064035415649,0.4715198874473572,-0.4783311486244201,0.9999939203262328,0.4982706606388092,0.512352705001831,-0.3202751874923706,0.9999852180480956,0.4962109625339508,0.4454339742660522,-0.3013924658298492,0.9999331831932068,0.4198371171951294,0.5273366570472717,-0.3432744741439819,0.9961313009262084,0.4174712002277374,0.4373030364513397,-0.294209361076355,0.9871830344200134,0.3485087156295776,0.5254113078117371,-0.4202757179737091,0.9582890868186952,0.351248949766159,0.4412999451160431,-0.361284852027893,0.9280519485473632,0.3249841034412384,0.5279845595359802,-0.453343391418457,0.902128279209137,0.3311224579811096,0.4396426081657409,-0.3871230185031891,0.8533897995948792,0.3226363360881805,0.5225135087966919,-0.4696778953075409,0.9099360704421996,0.3300330638885498,0.4429880678653717,-0.4109536409378052,0.865434467792511,0.3290144205093384,0.5212287306785583,-0.4285819232463836,0.9034572243690492,0.3357200622558594,0.444485455751419,-0.372000902891159,0.8479286432266235,0.4079839885234833,0.4980907440185547,-0.0112463738769292,0.9999701976776124,0.4069238007068634,0.4636968374252319,0.0111638121306896,0.9999477863311768,0.3554635345935821,0.4940095543861389,-0.3539161682128906,0.9801676273345948,0.3475810587406158,0.4580852389335632,-0.2138549387454986,0.9239986538887024,0.28096404671669,0.5009706616401672,-0.0637513548135757,0.9785718321800232,0.2801739573478699,0.4525127410888672,0.0416469797492027,0.9754441380500792,0.2703264057636261,0.4983567595481872,-0.0409731864929199,0.9178677797317504,0.268418550491333,0.4549023509025574,0.0607178099453449,0.9040738344192504,0.2519254684448242,0.5090606212615967,-0.1615263521671295,0.969046413898468,0.2488206624984741,0.4415380358695984,-0.0729299932718277,0.9661414623260498
Knee genu valgus,0.5780244469642639,0.476230263710022,-0.5417174696922302,0.9999953508377076,0.5886058211326599,0.4800615906715393,-0.5217772722244263,0.9999873638153076,0.588840663433075,0.4823666214942932,-0.5218093395233154,0.9999869465827942,0.5889092683792114,0.4846335053443908,-0.5219166874885559,0.9999866485595704,0.5879497528076172,0.4718669056892395,-0.5215877294540405,0.9999805688858032,0.5876165628433228,0.4690929651260376,-0.5216922760009766,0.9999811053276062,0.5871232151985168,0.4672596752643585,-0.5217146277427673,0.9999794960021972,0.5856174230575562,0.4891563355922699,-0.4053513705730438,0.9999812841415404,0.5827500820159912,0.4643445611000061,-0.4040991067886352,0.9999586939811708,0.5660335421562195,0.4813942015171051,-0.4981684982776642,0.999996781349182,0.5643821954727173,0.471785694360733,-0.4977822303771972,0.9999943971633912,0.5189095139503479,0.5123468637466431,-0.3308950364589691,0.999984860420227,0.5158136487007141,0.4454653859138489,-0.3113636374473572,0.999937891960144,0.4368131458759308,0.5266873240470886,-0.3508657813072204,0.9963033199310304,0.4373784959316253,0.4377317130565643,-0.3046427071094513,0.9881086945533752,0.3639916777610779,0.5252780318260193,-0.4248785376548767,0.9579187631607056,0.3679460287094116,0.4410543143749237,-0.3767190873622894,0.9345185160636902,0.3416862785816192,0.5283051133155823,-0.4595329165458679,0.9024191498756408,0.3482352793216705,0.438999742269516,-0.4055388271808624,0.8661332130432129,0.3403964638710022,0.5225235223770142,-0.4776961803436279,0.9097244143486024,0.3469932079315185,0.4428016543388366,-0.4305754005908966,0.8767749667167664,0.3451049327850342,0.5208214521408081,-0.4336793422698974,0.9029767513275146,0.3534041047096252,0.4447221159934997,-0.3880291283130646,0.859553337097168,0.4295996725559234,0.49798783659935,-0.0100056445226073,0.9999746084213256,0.4274667799472809,0.4635761976242065,0.0099447695538401,0.9999527335166932,0.3615834414958954,0.4944599568843841,-0.3506381511688232,0.9805464744567872,0.3570773005485534,0.457395851612091,-0.2427868247032165,0.9283549189567566,0.281351625919342,0.501299262046814,-0.0663811787962913,0.9809604287147522,0.2797006964683532,0.45242440700531,-0.0045731635764241,0.97895485162735,0.2696840167045593,0.4987205564975738,-0.0466368272900581,0.9234495759010316,0.2673681378364563,0.4549024403095245,0.0122132552787661,0.9141104817390442,0.2525016069412231,0.5094259977340698,-0.1746337860822677,0.9708887338638306,0.2493352591991424,0.4414156675338745,-0.1230333968997001,0.9700495004653932
